credit.policy,int.rate,installment,log.annual.inc,dti,fico,days.with.cr.line,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,not.fully.paid,purpose_credit_card,purpose_debt_consolidation,purpose_educational,purpose_home_improvement,purpose_major_purchase,purpose_small_business,debt_income_ratio,many_inquiries,has_delinquency,has_public_record,fico_category_fair,fico_category_good,fico_category_very good,fico_category_excellent
1.0,0.1189,829.1,11.35040654,19.48,737.0,5639.958333,28854.0,52.1,0.0,0.0,0.0,0.0,False,True,False,False,False,False,73.04584175713586,0,0,0,False,True,False,False
1.0,0.1071,228.22,11.08214255,14.29,707.0,2760.0,33623.0,76.7,0.0,0.0,0.0,0.0,True,False,False,False,False,False,20.5934907415534,0,0,0,False,True,False,False
1.0,0.1357,366.86,10.37349118,11.63,682.0,4710.0,3511.0,25.6,1.0,0.0,0.0,0.0,False,True,False,False,False,False,35.36514309736946,0,0,0,False,True,False,False
1.0,0.1008,162.34,11.35040654,8.1,712.0,2699.958333,33667.0,73.2,1.0,0.0,0.0,0.0,False,True,False,False,False,False,14.3025714037552,0,0,0,False,True,False,False
1.0,0.1426,102.92,11.29973224,14.97,667.0,4066.0,4740.0,39.5,0.0,1.0,0.0,0.0,True,False,False,False,False,False,9.108180425344308,0,1,0,True,False,False,False
1.0,0.0788,125.13,11.90496755,16.98,727.0,6120.041667,50807.0,51.0,0.0,0.0,0.0,0.0,True,False,False,False,False,False,10.510738435402118,0,0,0,False,True,False,False
1.0,0.1496,194.02,10.71441777,4.0,667.0,3180.041667,3839.0,76.8,0.0,0.0,1.0,1.0,False,True,False,False,False,False,18.108310144789137,0,0,1,True,False,False,False
1.0,0.1114,131.22,11.00209984,11.08,722.0,5116.0,24220.0,68.6,0.0,0.0,0.0,1.0,False,False,False,False,False,False,11.926814145325917,0,0,0,False,True,False,False
1.0,0.1134,87.19,11.40756495,17.25,682.0,3989.0,69909.0,51.1,1.0,0.0,0.0,0.0,False,False,False,True,False,False,7.643173664332282,0,0,0,False,True,False,False
1.0,0.1221,84.12,10.20359214,10.0,707.0,2730.041667,5630.0,23.0,1.0,0.0,0.0,0.0,False,True,False,False,False,False,8.244155474446474,0,0,0,False,True,False,False
1.0,0.1347,360.43,10.4341158,22.09,677.0,6713.041667,13846.0,71.0,2.0,0.0,1.0,0.0,False,True,False,False,False,False,34.54341574395791,0,0,1,False,True,False,False
1.0,0.1324,253.58,11.83500896,9.16,662.0,4298.0,5122.0,18.2,2.0,1.0,0.0,0.0,False,True,False,False,False,False,21.42626176769705,0,1,0,True,False,False,False
1.0,0.0859,316.11,10.93310697,15.49,767.0,6519.958333,6068.0,16.7,0.0,0.0,0.0,0.0,False,True,False,False,False,False,28.913098615735944,0,0,0,False,False,True,False
1.0,0.0714,92.82,11.51292546,6.5,747.0,4384.0,3021.0,4.8,0.0,1.0,0.0,0.0,False,False,False,False,False,True,8.062242765532506,0,1,0,False,True,False,False
1.0,0.0863,209.54,9.487972109,9.73,727.0,1559.958333,6282.0,44.6,0.0,0.0,0.0,0.0,False,True,False,False,False,False,22.084803537864197,0,0,0,False,True,False,False
1.0,0.1103,327.53,10.73891524,13.04,702.0,8159.958333,5394.0,53.4,1.0,0.0,0.0,0.0,False,False,False,False,True,False,30.499356096975763,0,0,0,False,True,False,False
1.0,0.1317,77.69,10.52277288,2.26,672.0,3895.958333,2211.0,88.4,0.0,0.0,0.0,0.0,False,False,False,False,False,False,7.3830349553263375,0,0,0,False,True,False,False
1.0,0.0894,476.58,11.60823564,7.07,797.0,6510.958333,7586.0,52.7,1.0,0.0,0.0,0.0,True,False,False,False,False,False,41.05533474508276,0,0,0,False,False,True,False
1.0,0.1039,584.12,10.49127422,3.8,712.0,2760.0,8311.0,59.8,0.0,0.0,0.0,0.0,False,True,False,False,False,False,55.67674505032622,0,0,0,False,True,False,False
1.0,0.1513,173.65,11.00209984,2.74,667.0,1126.958333,591.0,84.4,3.0,0.0,0.0,0.0,False,False,False,False,True,False,15.783350680809674,0,0,0,True,False,False,False
1.0,0.08,188.02,11.22524339,16.08,772.0,4888.958333,29797.0,23.2,1.0,0.0,0.0,0.0,False,False,False,False,False,False,16.74974817628431,0,0,0,False,False,True,False
1.0,0.0863,474.42,10.81977828,2.59,797.0,11951.0,5656.0,27.6,0.0,0.0,0.0,0.0,False,False,False,False,False,False,43.84747891525186,0,0,0,False,False,True,False
1.0,0.1355,339.6,11.51292546,7.94,662.0,1939.958333,21162.0,57.7,0.0,0.0,0.0,0.0,True,False,False,False,False,False,29.497281223603096,0,0,0,True,False,False,False
1.0,0.0788,484.85,11.73606902,7.05,782.0,5640.041667,16931.0,34.6,1.0,0.0,0.0,0.0,True,False,False,False,False,False,41.31281088870079,0,0,0,False,False,True,False
1.0,0.1229,320.19,11.26446411,8.8,672.0,3760.958333,4822.0,58.1,0.0,0.0,1.0,0.0,False,True,False,False,False,False,28.424787621787715,0,0,1,False,True,False,False
1.0,0.0901,159.03,12.4292162,10.0,712.0,1553.958333,14354.0,36.6,0.0,2.0,0.0,0.0,False,False,False,False,False,False,12.794853467912159,0,1,0,False,True,False,False
1.0,0.0743,155.38,11.08214255,0.28,802.0,4649.958333,1576.0,5.7,1.0,0.0,0.0,0.0,False,False,False,False,False,False,14.020754497513659,0,0,0,False,False,False,True
1.0,0.1375,255.43,9.998797732,14.29,662.0,1318.958333,4175.0,51.5,0.0,1.0,0.0,0.0,False,True,False,False,False,False,25.546071322407666,0,1,0,True,False,False,False
1.0,0.0743,155.38,12.20607265,0.28,772.0,4516.958333,3164.0,13.7,0.0,0.0,0.0,0.0,False,False,False,False,False,False,12.729729246695905,0,0,0,False,False,True,False
1.0,0.0743,155.38,12.20607265,3.72,812.0,6778.958333,85607.0,0.7,0.0,0.0,0.0,0.0,False,False,False,False,False,False,12.729729246695905,0,0,0,False,False,False,True
1.0,0.0807,156.84,11.51292546,2.3,742.0,3148.958333,9698.0,19.4,0.0,0.0,0.0,0.0,False,True,False,False,False,False,13.622949314222348,0,0,0,False,True,False,False
1.0,0.1028,275.38,9.798127037,6.4,692.0,7469.958333,8847.0,26.9,1.0,1.0,0.0,0.0,True,False,False,False,False,False,28.105371461311048,0,1,0,False,True,False,False
1.0,0.0743,155.38,11.91839057,0.0,777.0,7128.958333,6053.0,19.5,0.0,0.0,0.0,0.0,False,False,False,True,False,False,13.036995145226223,0,0,0,False,False,True,False
1.0,0.0807,78.42,11.60823564,11.33,762.0,6059.958333,7274.0,13.1,0.0,0.0,0.0,0.0,False,False,False,True,False,False,6.75554859773677,0,0,0,False,False,True,False
1.0,0.087,158.3,11.22524339,15.55,757.0,4770.0,66033.0,23.0,0.0,0.0,0.0,0.0,True,False,False,False,False,False,14.102144113954934,0,0,0,False,False,True,False
1.0,0.0743,155.38,11.46163217,3.83,772.0,2535.0,3660.0,6.8,0.0,0.0,0.0,0.0,False,False,False,False,False,False,13.556533458358226,0,0,0,False,False,True,False
1.0,0.0743,155.38,11.35040654,0.31,787.0,3540.0,216.0,0.6,0.0,0.0,0.0,0.0,True,False,False,False,False,False,13.689377508411253,0,0,0,False,False,True,False
1.0,0.1122,164.23,11.28978191,1.21,672.0,3990.0,27185.0,16.1,3.0,0.0,1.0,0.0,True,False,False,False,False,False,14.54678233018232,0,0,1,False,True,False,False
1.0,0.0996,161.25,10.77895629,8.03,707.0,4320.0,28329.0,48.6,1.0,0.0,0.0,0.0,False,True,False,False,False,False,14.95970441494387,0,0,0,False,True,False,False
1.0,0.0933,159.77,12.10071213,11.93,717.0,4498.958333,60568.0,39.2,1.0,0.0,0.0,0.0,False,False,False,True,False,False,13.203355164850121,0,0,0,False,True,False,False
1.0,0.0807,156.84,12.10071213,5.55,742.0,4019.0,40934.0,26.3,0.0,0.0,0.0,0.0,False,False,False,True,False,False,12.961220655035945,0,0,0,False,True,False,False
1.0,0.0743,155.38,11.69524702,2.29,777.0,3540.0,8379.0,16.9,0.0,0.0,0.0,0.0,False,True,False,False,False,False,13.285739047177474,0,0,0,False,False,True,False
1.0,0.087,94.98,10.1266311,14.54,752.0,2460.0,3660.0,7.8,1.0,0.0,0.0,0.0,False,False,False,False,False,True,9.379229781560818,0,0,0,False,True,False,False
1.0,0.1028,97.2,12.20607265,0.0,677.0,3779.958333,0.0,0.0,0.0,1.0,0.0,0.0,False,False,False,True,False,False,7.9632493421215225,0,1,0,False,True,False,False
1.0,0.1122,164.23,10.30895266,18.64,702.0,5190.0,15840.0,47.1,0.0,0.0,0.0,0.0,True,False,False,False,False,False,15.930813285934713,0,0,0,False,True,False,False
1.0,0.0838,167.02,11.21182037,14.37,797.0,5610.958333,6844.0,14.4,0.0,0.0,0.0,0.0,True,False,False,False,False,False,14.896778086714924,0,0,0,False,False,True,False
1.0,0.0775,168.6,8.987196821,3.0,762.0,6659.958333,1321.0,16.5,0.0,0.0,0.0,0.0,False,False,True,False,False,False,18.76002087837217,0,0,0,False,False,True,False
1.0,0.0838,160.72,10.37349118,14.78,772.0,4379.0,4737.0,23.9,0.0,0.0,0.0,0.0,False,False,False,False,False,False,15.49333750915668,0,0,0,False,False,True,False
1.0,0.0901,159.03,11.19821472,9.96,722.0,3089.958333,23489.0,37.6,0.0,0.0,0.0,0.0,True,False,False,False,False,False,14.201370841369258,0,0,0,False,True,False,False
1.0,0.0743,178.69,11.73606902,0.27,792.0,7488.958333,2817.0,10.2,0.0,0.0,0.0,0.0,False,True,False,False,False,False,15.225711411162099,0,0,0,False,False,True,False
1.0,0.0743,155.38,10.71441777,1.12,782.0,5807.0,1783.0,0.0,1.0,0.0,0.0,0.0,True,False,False,False,False,False,14.501954593842571,0,0,0,False,False,True,False
1.0,0.1028,323.98,10.217422,10.7,712.0,1379.0,3534.0,54.4,0.0,0.0,0.0,0.0,False,False,False,False,False,True,31.708585590376913,0,0,0,False,True,False,False
1.0,0.1059,813.65,10.77895629,4.05,762.0,2729.958333,2422.0,23.3,0.0,0.0,0.0,0.0,False,False,False,False,False,True,75.4850449439943,0,0,0,False,False,True,False
1.0,0.0996,112.87,9.510444964,16.44,712.0,1649.958333,2864.0,41.1,1.0,0.0,0.0,0.0,False,False,True,False,False,False,11.86800411834022,0,0,0,False,True,False,False
